Id	Text	Label
13458115_2	It 's like that at most public boards .	noHate
13367480_1	I wonder if one of the victims opened the door to their apartment for some reason .	noHate
30422449_1	Some people believe the Jack O ' Lantern also represents the ancient Celtic warrior 's tradition of taking the heads of their enemies as trophies .	noHate
30527903_3	Thanks !	noHate
12870229_4	com/watch ? v = KrdyCxpB4fs And then the entire Myron Fagan video @ youtube .	noHate
14053109_1	This is a video of a band from the Upper Silesian village of Zebowice ( Zembowitz-Fohrendorf ) , it is the town with the highest percentage of Germans in Poland .	noHate
13591250_2	Sørensen , 19 år , er født 8. april 1982 i Kolding .	idk/skip
13617074_1	Why, are you afraid that your son might come and find you drunk in a bar 20 years later and try to kill you or something ...	noHate
30386096_4	Here 's the link : http://apps.meadjohnson.com/forms/jsp/Efb/Efb.do ?	noHate
13511568_2	http://www.stltoday.com/stltoday/new ... A ? OpenDocument	noHate
14059932_2	They are doing the same to all the white nations .	relation
30526591_3	Y !	noHate
14104444_3	NeoFolk ?	noHate
13501878_2	Is it a good idea for them to release all these videos ?	noHate
14035837_2	The sooner we acknowledge eachother in local areas and band together as a unit the sooner we become a strong white nation again .	noHate
31728633_5	88 - Jim	noHate
12860405_2	This would make me crazy if I saw it in person .	noHate
12848466_6	She says the class is out of control and the kids are unteachable , and the black administration does not support her .	noHate
13449582_3	Just the yo crap .	noHate
13245714_1	Free Edgar Steele has announced the start of an official fundraising campaign with full support of Cyndi Steele : Fundraising Campaign | Free Edgar Steele	noHate
30561702_1	When I was in grammar school I would go to the library every few days and get a new Hardy Boys book .	noHate
30413458_1	It's a powerful symbol that strikes fear into the heart of our racial enemies , theres a good video on YouTube done by Thule productions entitled the meaning of the swastika our holy aryan symbol .Here 's the link The meaning of the Swastika - Our Holy Aryan Symbol - YouTube	noHate
13864766_5	Regards , Draiodoir .	noHate
30405478_2	You lost the fight already .	noHate
30559316_1	He is a hero of mine .	noHate
14296825_2	That 's why we need to keep in touch and stay organized .	noHate
14651426_2	Look what white liberals have done .	relation
14104912_2	There are multitudes of great people here and a hearty welcome from my us all !	noHate
33045538_1	Yes they did , the Jews claimed that Jesus got his power from the devil to heal people of their illnesses .	noHate
13379474_2	Any Europeans traveling to this country must be insane , I hope any Whites traveling there stay safe and use good judgement at night .	noHate
13849943_2	Apparently if the 2nd toe is bigger than the Big Toe it is a racial sign that your parents have confined their mating patterns to mixing within those of Celtic Stock .	noHate
13498188_3	Careful what you laugh at .	noHate
14055786_2	That is only an issue to be sorted out with Serbian moderators .	noHate
30582393_1	He just got completely knocked out , should be fine , I 've seen people flop around like a fish many times after being completely knocked out .	noHate
13482640_2	Sometimes pictures are worth a thousand words .	noHate
30632791_1	I think you already know the answer to your own question .	noHate
14031187_2	We just recently visited a relative in London .. Lord god , 2011 London is nothing like the 1950 's London I spent holidays in as a wee kid .	noHate
13502231_3	2508	noHate
13569459_2	I doubt it though .	noHate
30462337_3	If you have good grades , do n't get in trouble , are involved in extracurriculars , and otherwise are a good citizen , probably most teachers are n't going to take time out of their day unless your school is REALLY liberal .	noHate
30436626_3	Damn early euro fur traders could n't keep their hide pants on .	noHate
13472258_3	YouTube	noHate
14077746_6	Dessert * * * * * * !!	noHate
30622613_1	Bought the p226 today .	noHate
13865833_3	Get out there and lead by example .	noHate
30709708_3	I prefer male teachers and my girlfriend says she likes female teachers .	noHate
14296672_3	Please message me .	noHate
14412097_2	We will be announcing congressional candidates and local office candidates in a few months .	noHate
30439245_1	My good friend and neighbor carries his like that too .	noHate
33496624_1	You can ignore reality but you cannot ignore the consequences of ignoring reality .	noHate
30623737_5	Here 's some good anime : `` Cowboy Bebop '' ( real title is `` Heaven 's Gate '' ) [ generally ok for kids ] `` Akira '' [ a little disturbing for youngsters ] `` Princess Mononoke '' [ kid ok ] `` Spirited Away '' [ kid ok ] `` Robotech '' [ kid ok ] `` Golgo 13 '' [ violent ] `` Ninja Scrolls '' [ violent , sexual situations ] `` Vampire Hunter D '' [ violent ] `` Animatrix '' [ violent - mature kids only ] Check out `` adult swim '' on Comedy Central late at night .	noHate
30447565_1	Other ethnic groups are allowed to have ethnocentric charter schools paid by taxpayers .	noHate
14270522_1	I heard the feds got him because he ate a chocolate bar and they charged him with racist eating. lol Now im sure he is ok atleast I hope so I look forward to his reading his wisdom as often as he posts it .	noHate
14669948_3	#WethePeople #RealAmericans	noHate
14675480_4	Liberals have this illusion that genes pick and select which genes that get passed down and they think it only passes down the good ones .	relation
13107589_8	CONFIRMED - March 12 , 2011 YouTube - UPDATE 1pm CST -- NOT GOOD !	noHate
13866670_1	My ex girlfriends mother wrote that song !	noHate
13442012_1	Ok how about I post a cool song that will cool us off : YouTube - Darkthrone - Transilvanian Hunger - With Lyrics Now come on people lets make some progress .	noHate
13859752_2	Thank you .	noHate
30390371_1	In the old days private security and armed whites would take care of this , but maybe the negros are fighting smarter by taking on soft-targets ?	noHate
30413547_3	Visit http://HolocaustHandbooks.com today	noHate
14082109_2	14/88	noHate
14273611_1	Hey, she passed away a few weeks ago now ; Did you not read it in the papers or see it in the news ?	noHate
14677489_2	Unfortunately , intelligent outliers of races generally not gifted with a high average intelligence can be very deadly .	noHate
30546921_3	They can be blue , green , or grey at different times .	noHate
13501262_2	I want to show them this thread .	noHate
12856456_1	Arseniy Yatsenyuk approved as Ukraine 's new prime minister Arseniy Yatsenyuk , Ukraine 's new prime minister Published February 27 , 2014 / FoxNews.com Source : Arseniy Yatsenyuk approved as Ukraine 's new prime minister | Fox News	noHate
30777933_3	Old Bible scholars beleive the Bible was written by White Germanic people .	noHate
13473247_4	I have seen young white girl 's and boy 's acting like blacks with their baggy pant 's and their hip hop .	noHate
14030428_1	Although we have slight variances in our position here I want to thank all the posters who have kept this thread civil .	noHate
14082739_2	I need to get pics of her tonight when I get done shaving her .	noHate
30431013_2	Alot of blue missing but it always goes bang and fits in my pants pocket better than my Taurus tip up .	noHate
14268777_3	From Norway to the Fareo Islands and then onto Iceland .	noHate
13456517_1	Does anyone have that video of black gang attacking a white teenagers in front of his house and then a black gang of females attack his mother for trying to protect her son .	noHate
14107382_2	Write back if you want to talk .	noHate
14408833_1	If you are putting bread on a White family 's table , they will follow you .	noHate
14407299_1	Newsnet14.com thugreport.com It 's a shame most of the people that came here are just rambling about killing people though lol ....	noHate
13480343_2	When you get to the site click on Dark Crimes .	noHate
13595927_1	I can sincerely tell you that I am certain he was a beautiful man and I love names of honour and those which hold origo within our folklore . ... for him .	noHate
14105130_3	Aimee	noHate
30565021_4	Same with basketball and baseball .	noHate
31769461_2	Support the Boy Scouts .	noHate
12845607_4	Like the `` white '' -African ( what the hell is her name ) ..	noHate
13944391_1	I understand this but unfortunatly I have no one else to turn to .	noHate
30552917_1	I am in the same boat as you to an extent .	noHate
31787598_1	I was wondering the same thing when I first saw that this section was added .	noHate
14669208_1	I'm glad you 're gay !	noHate
13494117_6	Thus they have the title as the fattest people in the world .	noHate
30439769_4	TNB !	relation
14438496_2	I 've started asking myself that question every day , and every day it seems like I did n't do enough .	noHate
30491857_3	Cats Musical - Memory - YouTube	noHate
30571599_13	158 carpenter NiB BCG , 1/7 twist , CHF barrel and chamber , comfy CTR stock , etc .	noHate
14106203_3	Anything ??	noHate
30636316_1	Boys and girls should n't wrestle each other .	noHate
13059807_2	Absolute stupidity !	noHate
14016815_1	BS!	noHate
13246274_2	I saw Edwards on some TV show not long ago .	noHate
13621261_5	The Lebanese are one of those who did the massacre at Sabra and Shattila under the direction of the Juden-state Israel .	noHate
13587851_7	Around 5 % of Estonians singing on one stage .	noHate
31732793_1	Yeah they did this crap at my school when I was in kindergarten .	noHate
30852439_3	Thank goodness you 're there to pick up the slack .	noHate
30751384_1	Actually, They will be raised by there mother along with their father , the US government .	noHate
30429569_2	Professor Kassin 's research focuses on the remarkable phenomenon of false confessions in criminal investigations--which are far more common than one might expect .	noHate
13862527_1	i'd like to know more about this debate .. is anyone welcome and where exactly is it being held ? good work by the way Mr.Roach. nice publicity .	noHate
